id	french_title	tags
tt0037907	L'excellent sabre Bijomaru	drama kiyon sakurai, an apprentic swordmak make a sword for hi guardian, kozaemon onoda. onoda break the sword while defend hi lord which eventu lead to hi death at the hand of naito, when naito demand to marri hi daughter sasae. sasa vow to aveng her father' death and plead for kiyon sakurai to make a special sword for her. so kiyon and hi fellow swordmak kiyotsugu go to the master swordsmith kiyohid yamatomori to learn their craft and forg the sword. kenjimizoguchi
tt0038049	Histoire de l'arc au temple de Sanjusangendo	war tale of martial skill set in the edo era, and complet with difficulti dure the last month of wwii: the son of an archer ,who kill himself after lose a contest, take up hi father' former profession. worldwartwo honor workingclass samurai parentaldeath mikionarus
tt0038182	Les hommes qui marchèrent sur la queue du tigre	adventur drama thriller a japanes gener and hi men disguis themselv as monk in order to pass an enemi border patrol. enemi samurai royalti japan 12thcenturi akirakurosawa
tt0038268	La légende de judo II	action adventur drama sugata return to prove hi judo masteri in a match against western opponents. martialart judo jujitsu jiu-jitsu snowadventur judo snow duel dojo akirakurosawa
tt0038662	La victoire des femmes	drama a social commit film about the feudal state of mani japanes women in 1946. hiroko hosokawa, a femal lawyer, defend mrs. asakura, who suffoc her child in her grief after her husband die penniless follow an industri accident. the prosecutor is hiroko' sister' husband kono, who also sent hiroko' fiance, yamaoka, to jail for hi liber view dure the war. yamaoka ha just been freed, but is serious ill from hi time in prison. kenjimizoguchi
tt0039074	Cinq femmes autour d'Utamaro	drama utamaro is a great artist who live to creat portrait of beauti women, use the brothel of tokyo to provid hi models. artisticcr painter artist art engrav kenjimizoguchi
tt0039090	Je ne regrette rien de ma jeunesse	drama the daughter of a polit disgrac univers professor struggl to find a place for herself in love and life, in the uncertain world of japan lead into wwii. studentprotest kyoto japan 1930 flowerarrang student daughter love world professor akirakurosawa
tt0039423	La Montagne d'argent	action crime drama three bank robber on the run from the polic hide out in a remot mountain lodg high up in the snowi japanes alps. mountain fugit snowbound searchparti mountainrescu hous mountain robber crimin human senkichitaniguchi
tt0039449	L'éveil du printemps	drama slice of life film center around a coupl of year in the life of a rural high school girl. coupl school mikionarus
tt0039516	L'amour de l'actrice Sumako	drama the stage director shimamura, who is bring western theatr to japan, fall in love with the outspoken actress sumako matsui, and leav hi famili to be with her, while tri to keep hi art theatr solvent. familyrelationship director love actress basedontruestori kenjimizoguchi
tt0039651	Récit d'un propriétaire	drama a young boy follow tashiro home to hi tenement hous complex on the outskirt of tokyo, the boy who wa separ from hi carpent father somehow and somewher in kudan. all tashiro know is that the boy and hi father came to town from chigasaki that morning. despit tashiro' want to hous the kid until they decid what to do more permanently, tashiro' roommate, tamekichi, the tenement' head, won't let the kid stay, not like children and not want to get involved. so tashiro foist the kid onto their neighbor, the widow tane, who too protests, she also not like children and not want to get involved. tane treat the boy with disdain, which onli increas by the next morn due to an overnight incident. amongst the tenement residents, tane is charg with go to chigasaki to see if she can find the father or find out what happen to him. on that trip, what she learn by put the piec of the stori togeth is that the father purpos abandon the boy as he went off to look for work. thi news doe not chang tane' outlook or poor treatment of the boy. noth chang as the week progresses, howev tane' outlook take a one hundr eighti degre turn when there is the possibl that she may never see the boy again. fortunetel widow workingclass tokyo japan orphan childhoodfriend postwarjapan lostchild simplepleasur boy japan postwar widow tenement yasujirôozu
tt0039871	Un merveilleux dimanche	drama romanc dure a sunday trip into war-ravag tokyo, despair yuzo and optimist masako look for work and lodging, as well as afford entertain to pass the time. breakingthefourthwal tokyo japan poverti fiancéfiancéerelationship postwarjapan occup cigarettesmok mime fullmoon swing swing akirakurosawa
tt0040009	Les larmes du Yang-Tsé	drama war 1930' china. the villag of a poor famili is taken over by the occupi japanes army. one son, zhongliang, leav hi wife and young son to join a medic group for the chines army. the other son, zhangmin goe into hide to protect hi family. the focu shift back and forth from the brothers' parent and zhongliang' wife and son to zhongliang' newfound life of luxuri in a town not too far away. the plight of zhongliang' mother, hi wife, sufan and her son, kongeson is contrast with zhongliang' rise in a flourish company. china invas 1930 japaneseoccupationofchina chushengcai junlizheng
tt0040010	Quatre histoires d'amour	drama antholog film in four parts: first love, separating' fun, too, love is easy, and love circus. kajirôyamamoto teinosukekinugasa mikionarus shirôtoyoda
tt0040413	Serment rompu	drama while revel of hi lower class past threaten hi job, a school teacher fight for freedom and equality. school teacher past keisukekinoshita
tt0040505	Une femme dans le vent	drama a man return from world war ii to find hi desper wife had resort to one night of prostitut to pay for their son' hospit bills. guilt postworldwarii night wife man prostitut veteran yasujirôozu
tt0040979	L'ange ivre	crime drama romanc thriller a drunken doctor with a hot temper and a violence-pron gangster with tuberculosi form a quicksilv bond. gangster yakuza doctor alcohol tuberculosi physician alcohol tokyojapan nurs tuberculosi akirakurosawa
tt0040980	Les femmes de la nuit	drama a mistress of a drug dealer in post-war japan is shock when she discov that he is have an affair with her sister. prostitut postwarjapan basedonnovel kenjimizoguchi
tt0041154	Printemps tardif	drama sever peopl tri to talk 27-year-old noriko into marrying, but all she want is to keep on care for her widow father. postworldwarii fatherdaughterrelationship kamakurajapan widow marriag japanesecultur yasujirôozu
